# t_0,t_1,t_2,t_3,t_4
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.400000000000000355e+00,3.200000000000000178e+00
